name,verdict,laps,site,state_off,state_on,audio_off,audio_on,note
3 닌자 킥 백 (3 Ninjas Kick Back).smc,SAME,0,00:ffff/dc13,6cb3dab9,6cb3dab9,1bb3d7ff,1bb3d7ff,
4인 쇼기 (4-nin Shougi).smc,SAME,1105746,00:8266/8268,c49fe29b,c49fe29b,1bb3d7ff,1bb3d7ff,
46억년 이야기 - 아득한 에덴으로 (46 Okunen Monogatari - Harukanaru Eden e).smc,SAME,0,16:ffff/8aaf,54834bfa,54834bfa,1bb3d7ff,1bb3d7ff,
ABC 먼데이 나이트 풋볼 (ABC Monday Night Football).smc,SAME,1546633,00:8332/8334,fd272d67,fd272d67,1bb3d7ff,1bb3d7ff,
CB 캐릭터 워즈 - 잃어버린 개그 (CB Chara Wars - Ushinawareta Gag).smc,SAME,0,00:ffff/9013,bd6e741d,bd6e741d,1bb3d7ff,1bb3d7ff,
E.V.O. 에덴을 찾아서 (E.V.O. - Search for Eden).smc,SAME,0,16:ffff/8aaf,c300bf86,c300bf86,1bb3d7ff,1bb3d7ff,
ESPN 스피드 월드 (ESPN Speed World).smc,SAME,0,00:ffff/9c82,852b10e1,852b10e1,1bb3d7ff,1bb3d7ff,
ESPN 선데이 나잇 NFL (ESPN Sunday Night NFL).smc,SAME,5874,3d:ffff/a89d,c54b8897,c54b8897,1bb3d7ff,1bb3d7ff,
F-제로 (F-Zero).smc,SAME,3143,00:ffff/803c,578cabb7,578cabb7,6713cbeb,6713cbeb,
FIFA 사커 96 (FIFA Soccer 96).smc,SAME,0,1e:ffff/8bab,2a1eb05b,2a1eb05b,1bb3d7ff,1bb3d7ff,
G.O.D - 눈을 뜨라고 부르는 소리가 들려 (G.O.D - Mezame yo to Yobu Koe ga Kikoe).smc,SAME,0,00:ffff/8070,9102c97e,9102c97e,1bb3d7ff,1bb3d7ff,
GP-1 파트 2 (GP-1 - Part II).smc,SAME,0,d5:ffff/4805,4627a1bd,4627a1bd,1bb3d7ff,1bb3d7ff,
GS 미카미 - 퇴마사는 나이스 바디 (GS Mikami - Joreishi wa Nice Body).smc,SAME,183,00:ffff/8392,91fcd673,91fcd673,81dd8bda,81dd8bda,
J리그 엑사이트 스테이지 '95 (J.League Excite Stage '95).smc,SAME,0,1d:ffff/9d12,12a78ac0,12a78ac0,1bb3d7ff,1bb3d7ff,
