name	status	type	sites	site	dp	romsize
엑스맨 - 뮤턴트 아포칼립스 (X-Men - Mutant Apocalypse).smc	NO_MATCH	2	0	-	-	2097152
틴에이지 히어로 터틀즈 4 - 터틀즈 인 타임 (Teenage Mutant Hero Turtles IV - Turtles in Time).smc	OK	1	1	1a:c779/c77b	00	1048576
바클리 파워 덩크 (Barkley no Power Dunk).smc	NO_MATCH	1	0	-	-	1572864
아서왕과 정의의 기사단 (King Arthur & The Knights of Justice).smc	NO_MATCH	2	0	-	-	2621440
인디아나 존스의 위대한 모험 (Indiana Jones' Greatest Adventures).smc	OK	1	1	3f:ed77/ed79	00	2097152
NFL 쿼터백 클럽 96 (NFL Quarterback Club 96).smc	NO_MATCH	1	0	-	-	3145728
전국 고교 사커 선수권 '96 ('96 Zenkoku Koukou Soccer Senshuken).smc	NO_MATCH	1	0	-	-	1572864
Romance of the Three Kingdoms IV - Wall of Fire (U).smc	OK	2	1	ee:a220/a222	1a	3145728
유진 - 잔주 가쿠엔 2 (Yuujin Janjuu Gakuen 2).smc	NO_MATCH	1	0	-	-	2097152
홀리 스트라이커 (Holy Striker).smc	NO_MATCH	1	0	-	-	1048576
대폭소 인생극장 (Daibakushou Jinsei Gekijou).smc	NO_MATCH	1	0	-	-	1048576
슈퍼 룹즈 (Super Loopz).smc	NO_MATCH	1	0	-	-	524288
데몬즈 크레스트 (Demon's Crest).smc	NO_MATCH	1	0	-	-	2097152
미소녀전사 세일러문 슈퍼S - 후와후와 패닉 (Bishoujo Senshi Sailor Moon SuperS - Fuwafuwa Panic).smc	NO_MATCH	1	0	-	-	1048576
슈퍼 뿌요뿌요2 리믹스 (Super Puyo Puyo Tsuu Remix).smc	NO_MATCH	1	0	-	-	2097152
슈퍼 즈간 2 - 츠칸포 파이터 (Super Zugan 2 - Tsukanpo Fighter).smc	NO_MATCH	2	0	-	-	1572864
로드 모나크 (Lord Monarch).smc	OK	2	37	c0:dd6a/dd6c	98	524288
마이크로 머신즈 2 터보 토너먼트 (Micro Machines 2 - Turbo Tournament).smc	NO_MATCH	1	0	-	-	1048576
머나먼 오거스타 3 - 마스터즈 뉴 (Harukanaru Augusta 3 - Masters New).smc	NO_MATCH	1	0	-	-	2097152
엔에이치엘 98 (NHL 98).smc	NO_MATCH	2	0	-	-	2097152
버브시 2 (Bubsy II).smc	NO_MATCH	2	0	-	-	2097152
에너지 브레이커.smc	NO_MATCH	1	0	-	-	3145728
SM 조교사 히토미 Vol 3.10.smc	NO_MATCH	1	0	-	-	1048576
럭키 루크 (Lucky Luke).smc	NO_MATCH	1	0	-	-	1572864
록맨즈 사커 (Rockman's Soccer).smc	NO_MATCH	1	0	-	-	1310720
캡틴 코만도 (Captain Commando).smc	NO_MATCH	2	0	-	-	2097152
나카노 코이치 감수 케이린왕 (Nakano Kouichi Kanshuu Keirin Ou).smc	NO_MATCH	1	0	-	-	524288
마법의 타루루토군 - 매직 어드벤처 (Magical Taruruuto-kun - Magic Adventure).smc	NO_MATCH	1	0	-	-	524288
대피 덕 - 마빈 미션 (Daffy Duck - The Marvin Missions).smc	NO_MATCH	1	0	-	-	1048576
핀볼 드림즈 (Pinball Dreams).smc	NO_MATCH	1	0	-	-	1048576
피크로스 NP Vol. 5 (Picross NP Vol. 5).smc	NO_MATCH	2	0	-	-	1048576
드래곤볼 Z 초오공전 - 돌격편 (Dragon Ball Z - Super Gokuu Den - Totsugeki Hen).smc	NO_MATCH	1	0	-	-	2097152
얼티밋 파이터 (Ultimate Fighter).smc	NO_MATCH	1	0	-	-	1572864
슈퍼 와갠 랜드 (Super Wagyan Land).smc	NO_MATCH	1	0	-	-	1048576
챔피언십 사커 94 (Championship Soccer '94).smc	OK	1	1	06:d9b7/d9b9	df	524288
X-밴드 모뎀 바이오스 (XBAND).smc	NO_MATCH	2	0	-	-	1048576
나카지마 사토루 F-1 히어로 94 (Nakajima Satoru Kanshuu - F-1 Hero '94).smc	NO_MATCH	2	0	-	-	1048576
레드라인 F-1 레이서 (Redline F-1 Racer).smc	NO_MATCH	1	0	-	-	1048576
캘리포니아 게임즈 2 (California Games II).smc	NO_MATCH	1	0	-	-	1048576
제7의 사가 (7th Saga, The).smc	NO_MATCH	2	0	-	-	1572864
모모타로 전철 해피 (Momotarou Dentetsu Happy).smc	NO_MATCH	2	0	-	-	3145728
하야자시 2단 모리타 장기 2 (Hayazashi Nidan Morita Shougi 2).smc	NO_MATCH	1	0	-	-	524288
칼리지 슬램 (College Slam).smc	OK	1	1	10:a124/a126	ce	3145728
마이티 맥스 (Mighty Max).smc	OK	1	1	00:8079/807b	6d	1048576
슈퍼 인터내셔널 크리켓 (Super International Cricket).smc	NO_MATCH	1	0	-	-	1048576
하나후다 (Honke Hanafuda).smc	OK	2	1	c8:a5d4/a5d6	4c	1048576
요코야마 미츠테루 - 삼국지 2 (Yokoyama Mitsuteru Sangokushi 2).smc	NO_MATCH	1	0	-	-	1572864
제독의 결단 2 (Teitoku no Ketsudan II).smc	NO_MATCH	2	0	-	-	3145728
다이너마이트 - 더 라스베이거스 (Dynamaite - The Las Vegas).smc	NO_MATCH	2	0	-	-	1048576
파이어 스트라이커 (FireStriker).smc	NO_MATCH	1	0	-	-	1048576
하베스트 문 (Harvest Moon).smc	OK	1	2	00:8654/8656	00	2097152
소닉 윙즈 (Sonic Wings).smc	NO_MATCH	1	0	-	-	1310720
파워 로드 러너 (Power Lode Runner).smc	NO_MATCH	1	0	-	-	1572864
드래곤볼 Z 초무투전 3 (Dragon Ball Z - Super Butouden 3).smc	NO_MATCH	1	0	-	-	2097152
에일리언 vs 프레대터 (Alien vs Predator).smc	NO_MATCH	1	0	-	-	1048576
벅시 인 클로즈 인카운터스 오브 더 퍼드 카인드 (Bubsy in - Claws Encounters of the Furred Kind).smc	NO_MATCH	1	0	-	-	2097152
록 온 (Lock On).smc	NO_MATCH	2	0	-	-	524288
슈퍼 원시인 2 (Super Genjin 2).smc	NO_MATCH	2	0	-	-	1572864
졸업 외전 - 네, 마작 하자! (Sotsugyou Bangai Hen - Nee Mahjong Shiyo!).smc	NO_MATCH	1	0	-	-	1048576
썬더 스피리츠 (Thunder Spirits).smc	OK	1	2	12:8212/8214	0d	1048576
솔리드 러너 (Solid Runner).smc	NO_MATCH	1	0	-	-	3145728
쿠니오의 오뎅 (Kunio no Oden).smc	NO_MATCH	1	0	-	-	524288
나 홀로 집에 (Home Alone).smc	NO_MATCH	1	0	-	-	524288
배틀 카스 (Battle Cars).smc	NO_MATCH	1	0	-	-	1048576
얌! 얌! (Yam! Yam!).smc	NO_MATCH	2	0	-	-	1572864
레스 아르카나 다이아나 레이 점치기의 미궁 (Res Arcana - Diana Ray - Uranai no Meikyuu).smc	NO_MATCH	1	0	-	-	1048576
전일본 프로레슬링 - 파이트 다 폰! (Zen-Nihon Pro Wres - Fight da Pon!).smc	OK	2	3	c0:65b9/65bb	54	1048576
리틀 매직 (Little Magic).smc	NO_MATCH	1	0	-	-	524288
타이쿄쿠 이고 - 골리앗 (Taikyoku Igo - Goliath).smc	NO_MATCH	1	0	-	-	1048576
블랙쏜 (Blackthorne).smc	NO_MATCH	1	0	-	-	1048576
니시진 파친코 모노가타리 (Nishijin Pachinko Monogatari).smc	NO_MATCH	1	0	-	-	1048576
사무라이 스피리츠 (Samurai Spirits).smc	NO_MATCH	2	0	-	-	4194304
슈퍼 튜리칸 (Super Turrican).smc	NO_MATCH	1	0	-	-	524288
드리프트 킹 - 수도고 배틀 2 (Drift King Shutokou Battle 2 - Tsuchiya Keiichi & Bandou Masaaki).smc	NO_MATCH	2	0	-	-	1572864
엔에이치엘 96 (NHL 96).smc	NO_MATCH	2	0	-	-	1572864
움직이는 E 버전 2.0 - 아리올 (Ugoku E Ver. 2.0 - Aryol).smc	NO_MATCH	1	0	-	-	1048576
사상 최강의 퀴즈왕 결정전 슈퍼 (Shijou Saikyou no Quiz Ou Ketteisen Super).smc	NO_MATCH	1	0	-	-	1048576
매든 NFL 98 (Madden NFL 98).smc	NO_MATCH	2	0	-	-	2097152
슈퍼 쿄테이 (Super Kyoutei).smc	NO_MATCH	1	0	-	-	1310720
메르헨 어드벤처 코튼 100% (Maerchen Adventure Cotton 100%).smc	NO_MATCH	1	0	-	-	2097152
마운틴 바이크 랠리 (Exertainment Mountain Bike Rally).smc	NO_MATCH	1	0	-	-	2097152
NBA 프로 농구 94 불스 vs 선스 (NBA Pro Basketball '94 - Bulls vs Suns).smc	OK	1	1	01:b4a4/b4a6	7b	1048576
고킨조 모험대 (Gokinjo Boukentai).smc	NO_MATCH	2	0	-	-	2621440
슈퍼 덩크 스타 (Super Dunk Star).smc	NO_MATCH	1	0	-	-	1048576
정글북 (Jungle Book, The).smc	OK	1	1	04:a15a/a15c	5f	2097152
이크! 더 캣 (Eek! The Cat).smc	OK	1	1	00:804e/8050	20	1048576
런 세이버 (Run Saber).smc	NO_MATCH	1	0	-	-	1048576
슈퍼 배틀탱크 (Super Battletank).smc	OK	1	1	0f:c13b/c13d	00	524288
라이온 킹 (Lion King, The).smc	NO_MATCH	2	0	-	-	3145728
노이기어 (Neugier - Umi to Kaze no Kodou).smc	NO_MATCH	1	0	-	-	1048576
요괴 버스터 - 루카의 대모험 (Youkai Buster - Ruka no Daibouken).smc	NO_MATCH	1	0	-	-	1048576
로봇렉 (Robotrek).smc	NO_MATCH	2	0	-	-	1572864
방향키 테스트 (Controller Test Cassette).smc	NO_MATCH	1	0	-	-	131072
전국 십단 - 울트라 심리 게임 (Zenkoku Juudan Ultra Shinri Game).smc	NO_MATCH	2	0	-	-	1048576
레전드 (Legend).smc	NO_MATCH	1	0	-	-	1048576
슈퍼 포메이션 사커 94 월드컵 파이널 데이터 (Super Formation Soccer 94 - World Cup Final Data).smc	NO_MATCH	1	0	-	-	1048576
팔랑크스 - 인포스 파이터 A-144 (Phalanx).smc	NO_MATCH	1	0	-	-	1048576
슈퍼 억만 장자 게임 (Super Okumanchouja Game).smc	NO_MATCH	1	0	-	-	1048576
